specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20220503-AQUE-004,Stephanocystis osmundacea,CYOS,31.2,7366,55317,0.13315978813023122,65,236.0897435897436,0.3705,115803.17873015873,392836893.1055,114308.86909049268,4.583966523003322,85716153.1065
20220503-AQUE-005,Stephanocystis osmundacea,CYOS,31.8,3843,26845,0.14315514993481096,34,120.84905660377358,0.33666666666666667,54236.16533333334,77346368.79666667,60171.222478722964,3.745964823279238,20609676.056666665
20220503-AQUE-006,Stephanocystis osmundacea,CYOS,30.4,2956,21892,0.13502649369632744,24,97.23684210526316,0.35203703703703704,42185.83266666667,70054370.81066667,42903.608930982424,4.394326052662203,16006248.231999999
20220503-AQUE-007,Stephanocystis osmundacea,CYOS,37,3769,25804,0.1460626259494652,32,101.86486486486487,0.3722,51060.11349333334,161023947.7232,63637.3859473682,4.639947960008095,33787215.716
20220719-NAPL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,39,16360,70010,0.23368090272818168,77,419.4871794871795,0.5905,147835.560228125,2031879489.5375001,141192.21367858944,19.254828962897257,93246021.4575
20220719-NAPL-002,Rhodymenia californica,R,13.7,698,3179,0.2195659012268009,4,50.948905109489054,0.49,6637.112,10549689.524,6632.255833780667,1.643382142517784,6943366.7545
20220726-BULL-001,Rhodymenia californica,R,12.3,473,2639,0.17923455854490336,3.7,38.45528455284553,0.14800000000000002,13858.55979,7302848.7532,13725.703081034602,1.3618281287014118,5520834.446400001
20220726-BULL-002,Cryptopleura ruprechtiana,BF,27.5,1441,9208,0.15649435273675066,13,52.4,0.16333333333333333,48713.8171,121463866.72266668,63380.425253965965,6.90987918194186,17117616.752
20220726-BULL-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,28,5109,34266,0.14909823148310278,39,182.46428571428572,0.375,72404.47684270334,573871257.039,69633.73669836456,18.588697464390822,29478225.9825
20220726-BULL-004,Gelidium spp.,GR,53,2367,17156,0.13796922359524363,22.4,44.660377358490564,0.52,31755.600800000004,58057032.8648,29017.122193637675,0.6148574397753594,89111952.54
20220726-BULL-005,Gelidium spp.,GR,45,2637,20494,0.1286718063823558,33.9,58.6,0.502,51747.25801104762,97915499.5148,39002.24073873866,0.5936645169236475,159703294.5876
20220726-BULL-006,Cryptopleura ruprechtiana,BF,16,431,3641,0.11837407305685252,5.999999999999999,26.9375,0.13,28088.490000000005,33496824.977,24648.863757194064,6.602006606421201,5317957.216
20220726-BULL-008,Stephanocystis osmundacea,CYOS,43,19680,127954,0.15380527377026118,120,457.6744186046512,0.482,194618.86331428573,1213924574.6208,257930.47647161264,4.6290719523787835,265991747.6504
20220726-BULL-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,32,2359,16459,0.14332583996597606,19,73.71875,0.45999999999999996,33544.383,552106999.797,33544.383,30.971888881399817,17826068.081
20220726-BULL-010,Pterygophora californica,PTCA,204,124258,720958,0.17235123266542574,471,609.1078431372549,1.9661666666666666,712397.9165014286,43428226646.014,1689404.811477717,27.36444915561905,1602640320.4728
20220726-BULL-012,Gelidium spp.,GR,44.5,5542,55730,0.09944374663556432,62.6,124.53932584269663,0.51,81318.11214952379,168314921.19600004,93362.81767842307,0.672829913691931,271586222.5
20220726-BULL-013,Rhodymenia californica,R,9,229,1189,0.19259882253994953,2,25.444444444444443,0.1,5676.0650000000005,6748841.285,5676.0650000000005,1.4124367664327648,4778154.637
20220726-BULL-014,Gelidium spp.,GR,56,11538,91254,0.1264382931159182,101.9,206.03571428571428,0.3794,130178.9334386729,385049519.89320004,151626.13406396454,0.530895349455126,705968283.6984
20220726-BULL-015,Cryptopleura ruprechtiana,BF,36,3181,23683,0.1343157539163113,20,88.36111111111111,0.15586956521739131,101606.11438095238,494635516.8106,147432.2256899618,6.185775029363298,69324399.2034
20220726-BULL-018,Cryptopleura ruprechtiana,BF,16,10536,39483,0.26684902363042323,44,658.5,0.1808,229869.18049333335,981674610.0192001,438523.42652947374,7.568830577887303,133305355.2726
20220726-BULL-019,Cryptopleura ruprechtiana,BF,37.5,6190,37159,0.16658144729406066,39,165.06666666666666,0.17933333333333334,176537.14899166665,2001724351.7803333,188855.32035199946,6.290363818771064,320710472.7716667
20220726-BULL-020,Stephanocystis osmundacea,CYOS,41,13533,81356,0.1663429863808447,87,330.0731707317073,0.6305,108758.25943582418,1012474297.2872,180302.9173458903,4.649951232133922,224913754.88560003
20220726-BULL-021,Rhodymenia californica,R,11,178,1127,0.15794143744454303,1,16.181818181818183,0.24,4978.248,5610485.495999999,4978.248,2.95425173267312,1899122.351
20220726-BULL-022,Rhodymenia californica,R,14,776,3675,0.211156462585034,4,55.42857142857143,0.247,11396.222000000002,41881115.85000001,11396.222000000002,3.3088278888457574,12657387.225
20220726-BULL-023,Rhodymenia californica,R,16,412,2815,0.1463587921847247,3,25.75,0.259,10388.988,29245001.22,10388.988,4.1357419841791465,7071282.8149999995
20220726-BULL-025,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,51,6702,40952,0.16365501074428598,52,131.41176470588235,0.359,89493.291,3664929253.032,89493.291,43.18144756993266,84872774.28799999
20220726-BULL-026,Rhodymenia californica,R,10,228,2223,0.10256410256410256,3,22.8,0.271,8859.6979999999985,19695108.653999995,8859.6979999999985,3.3330968233676863,5908951.853999999
20220726-BULL-027,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,43,4358,25505,0.17086845716526172,32,101.34883720930233,0.436,47707.585,1216781955.425,47707.585,25.036267953581635,48600772.195
20220726-BULL-031,Cryptopleura ruprechtiana,BF,32,3432,25099,0.13673851547870433,30,107.25,0.2012,122429.2907,523355081.4492,152161.31422084325,6.038232261339482,83129278.4846
20220726-BULL-032,Stephanocystis osmundacea,CYOS,37,5786,41341,0.13995791103263105,51,156.3783783783784,0.8211666666666667,69653.45946428571,325626454.4544,67090.8155175566,4.720772645032013,70945290.1
20220726-BULL-033,Pterygophora californica,PTCA,113,28521,209711,0.1360014496139926,220,252.39823008849558,1.5046666666666668,444828.28607380955,9594200111.6814,497437.1240451269,22.519694997262473,373170616.4298
20220726-BULL-034,Pterygophora californica,PTCA,169,145209,796081,0.1824048055411447,737,859.2248520710059,2.061,1218565.890567374,52528758367.228,2137121.5337787764,21.288276182455686,2394227300.0932
20220812-AQUE-001,Rhodymenia californica,R,10.5,138,1288,0.10714285714285714,1,13.142857142857142,0.254,4754.25,6123474,4754.25,2.3229707445184147,2636053
20220812-AQUE-002,Rhodymenia californica,R,17.5,1599,15128,0.10569804336329984,17,91.37142857142857,0.3095,52158.51741666667,391833141.80799997,50870.519315210746,2.1610741272119673,182924130.15199998
20220815-MOHK-001,Rhodymenia californica,R,10,1102,5133,0.21468926553672316,6.000000000000001,110.2,0.19474576271186442,21390.699999999997,11936705.95,24661.654584991913,2.6116540962541333,4414551.1
20220815-MOHK-002,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,26.5,2130,10711,0.1988609840351041,11,80.37735849056604,0.396,22192.3,237701725.29999998,22192.3,7.475678771137909,31796674.600000005
20220815-MOHK-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,25.3,901,4453,0.20233550415450258,5.2,35.612648221343875,0.389,17957.36799999999,25232033.9,12285.905177585573,11.309861260756938,1779196.1500000001
20220815-MOHK-004,Rhodymenia californica,R,5.5,659,3224,0.2044044665012407,3.5,119.81818181818181,0.47725,7268.5374999999995,4110358.1999999997,7153.605399190132,1.8103753307087822,2303789.8000000003
20220815-MOHK-005,Bossiella orbigniana,BO,9.5,4127,10637,0.3879853342107737,10.9,434.42105263157896,0.3903333333333333,33977.11666666666,20471615.633333333,26063.027742994273,0.6348283572338272,32026943.3
20220815-MOHK-006,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,17,1294,6192,0.20897932816537468,6.6,76.11764705882354,0.389,16129.795000000006,26150879.999999996,14944.495921218877,6.672531295219522,3730473.6
