specimen_ID,date_collected,year,site,sp_code,lifestage
20220824-CARP-010,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-011,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-012,2022-08-24,2022,Carpinteria,CYOS,NA
20220824-CARP-013,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-014,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-015,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-016,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-017,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-018,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-019,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-020,2022-08-24,2022,Carpinteria,BO,NA
20220824-CARP-021,2022-08-24,2022,Carpinteria,DP,NA
20220824-MOHK-001,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-002,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-003,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-004,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-005,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-006,2022-08-24,2022,Mohawk,CYOS,NA
20220824-MOHK-007,2022-08-24,2022,Mohawk,CYOS,NA
20220824-MOHK-008,2022-08-24,2022,Mohawk,CYOS,NA
20220824-MOHK-009,2022-08-24,2022,Mohawk,LAFA,NA
20220824-MOHK-010,2022-08-24,2022,Mohawk,CYOS,NA
20230620-NAPL-001,2023-06-20,2023,Naples,CO,NA
20230620-NAPL-002,2023-06-20,2023,Naples,CO,NA
20230620-NAPL-003,2023-06-20,2023,Naples,R,NA
20230620-NAPL-004,2023-06-20,2023,Naples,BO,NA
20230620-NAPL-005,2023-06-20,2023,Naples,R,NA
20230620-NAPL-006,2023-06-20,2023,Naples,DP,NA
20230620-NAPL-007,2023-06-20,2023,Naples,BO,NA
20230620-NAPL-008,2023-06-20,2023,Naples,DP,NA
20230620-NAPL-009,2023-06-20,2023,Naples,CO,NA
20230620-NAPL-010,2023-06-20,2023,Naples,CYOS,NA
20230620-NAPL-011,2023-06-20,2023,Naples,PTCA,NA
20230620-NAPL-012,2023-06-20,2023,Naples,CYOS,NA
20230620-NAPL-013,2023-06-20,2023,Naples,DP,NA
20230620-NAPL-014,2023-06-20,2023,Naples,BO,NA
20230620-NAPL-015,2023-06-20,2023,Naples,CC,NA
20230620-NAPL-016,2023-06-20,2023,Naples,LAFA,NA
20230620-NAPL-017,2023-06-20,2023,Naples,CYOS,NA
20230620-NAPL-018,2023-06-20,2023,Naples,LAFA,NA
20230620-NAPL-019,2023-06-20,2023,Naples,R,NA
20230620-NAPL-020,2023-06-20,2023,Naples,CC,NA
20230620-NAPL-021,2023-06-20,2023,Naples,BO,NA
20230620-NAPL-022,2023-06-20,2023,Naples,BR,NA
20230620-NAPL-023,2023-06-20,2023,Naples,LAFA,NA
20230620-NAPL-024,2023-06-20,2023,Naples,BO,NA
20230620-NAPL-025,2023-06-20,2023,Naples,CC,NA
20230620-NAPL-026,2023-06-20,2023,Naples,LAFA,NA
20230620-NAPL-027,2023-06-20,2023,Naples,CC,NA
20230620-NAPL-028,2023-06-20,2023,Naples,DP,NA
20230620-NAPL-029,2023-06-20,2023,Naples,DP,NA
20230620-NAPL-030,2023-06-20,2023,Naples,LAFA,NA
20230620-NAPL-031,2023-06-20,2023,Naples,R,NA
20230620-NAPL-032,2023-06-20,2023,Naples,DL,NA
20230620-NAPL-033,2023-06-20,2023,Naples,DL,NA
20230620-NAPL-034,2023-06-20,2023,Naples,DL,NA
20230627-MOHK-001,2023-06-27,2023,Mohawk,EGME,NA
20230627-MOHK-002,2023-06-27,2023,Mohawk,GS,NA
20230627-MOHK-003,2023-06-27,2023,Mohawk,BO,NA
20230627-MOHK-004,2023-06-27,2023,Mohawk,EGME,NA
20230627-MOHK-005,2023-06-27,2023,Mohawk,CO,NA
20230627-MOHK-006,2023-06-27,2023,Mohawk,GR,NA
20230627-MOHK-007,2023-06-27,2023,Mohawk,EGME,NA
20230627-MOHK-008,2023-06-27,2023,Mohawk,GS,NA
20230627-MOHK-009,2023-06-27,2023,Mohawk,GS,NA
20230627-MOHK-010,2023-06-27,2023,Mohawk,GR,NA
20230627-MOHK-011,2023-06-27,2023,Mohawk,CO,NA
20230627-MOHK-012,2023-06-27,2023,Mohawk,EGME,NA
20230627-MOHK-013,2023-06-27,2023,Mohawk,DP,NA
20230627-MOHK-014,2023-06-27,2023,Mohawk,BO,NA
20230627-MOHK-015,2023-06-27,2023,Mohawk,GR,NA
20230627-MOHK-016,2023-06-27,2023,Mohawk,GS,NA
20230627-MOHK-017,2023-06-27,2023,Mohawk,BO,NA
20230627-MOHK-018,2023-06-27,2023,Mohawk,EGME,NA
20230627-MOHK-019,2023-06-27,2023,Mohawk,GR,NA
20230627-MOHK-020,2023-06-27,2023,Mohawk,GS,NA
20230627-MOHK-021,2023-06-27,2023,Mohawk,GR,NA
20230627-MOHK-022,2023-06-27,2023,Mohawk,CO,NA
20230627-MOHK-023,2023-06-27,2023,Mohawk,BO,NA
20230627-MOHK-024,2023-06-27,2023,Mohawk,DL,NA
20230711-NAPL-001,2023-07-11,2023,Naples,BO,NA
20230711-NAPL-002,2023-07-11,2023,Naples,BO,NA
20230711-NAPL-003,2023-07-11,2023,Naples,BO,NA
20230711-NAPL-004,2023-07-11,2023,Naples,BO,NA
